"","X","sex","age","body_type","income","diet","smokes","status","height"
"1",211,"m",23,"fit",19900,1,1,1,73
"2",359,"m",26,"fit",68800,1,0,1,73
"3",1000,"m",33,"fit",51200,1,1,1,71
"4",619,"f",61,"fit",149900,0,0,1,64
"5",727,"f",21,"ff",17800,1,1,1,67
"6",811,"m",32,"fit",165100,1,1,1,70
"7",812,"m",47,"average",223900,0,0,1,72
"8",841,"f",61,"average",64600,1,1,1,63
"9",719,"m",39,"fit",104700,1,0,1,78
"10",957,"f",28,"average",55000,0,0,1,66
"11",62,"m",34,"fit",50900,1,1,1,75
"12",324,"m",26,"fit",19100,1,1,0,72
"13",823,"m",32,"fit",134800,1,0,1,70
"14",660,"f",28,"thin",36300,0,0,1,63
"15",873,"m",45,"fit",36100,0,0,1,69
"16",140,"m",24,"thin",19100,0,0,1,76
"17",130,"m",52,"fit",81300,1,0,1,73
"18",109,"m",32,"fit",74900,1,0,1,70
"19",20,"m",54,"thin",61600,0,0,1,72
"20",606,"m",65,"ff",19800,0,0,1,70
"21",432,"m",30,"average",29500,0,0,1,69
"22",3,"m",27,"average",54500,1,0,1,67
"23",882,"m",27,"average",18000,1,0,1,66
"24",767,"m",27,"ff",20000,0,0,1,70
"25",430,"m",34,"fit",72200,0,1,1,69
"26",839,"f",19,"thin",22200,1,0,0,64
"27",876,"m",28,"fit",75500,1,0,1,65
"28",522,"f",47,"average",66000,1,0,1,63
"29",689,"m",42,"average",98100,1,0,1,67
"30",554,"f",28,"average",20500,1,1,1,62
"31",445,"m",25,"fit",37100,1,1,1,71
"32",272,"m",42,"average",56000,1,1,1,68
"33",820,"f",21,"ff",17700,1,0,1,63
"34",799,"m",28,"fit",29200,1,1,1,74
"35",561,"m",41,"ff",93300,1,0,1,71
"36",567,"m",52,"ff",73000,1,0,1,70
"37",790,"f",25,"thin",79400,1,0,1,64
"38",112,"m",34,"fit",21800,1,0,1,70
"39",773,"m",33,"average",75800,1,0,1,71
"40",596,"m",27,"thin",27100,1,0,1,67
"41",241,"f",18,"thin",21700,1,1,0,66
"42",396,"m",23,"fit",48100,0,0,1,76
"43",417,"m",26,"fit",26300,1,0,1,67
"44",575,"m",48,"ff",55700,1,0,1,74
"45",641,"f",65,"thin",88300,0,0,1,63
"46",708,"m",41,"average",28400,1,0,1,72
"47",634,"f",32,"average",63600,0,1,0,62
"48",770,"m",42,"fit",45100,1,0,1,72
"49",244,"m",31,"thin",161800,0,0,1,72
"50",859,"m",29,"fit",880100,1,1,1,71
"51",609,"m",25,"fit",31700,1,1,1,67
"52",751,"m",32,"fit",69500,1,0,1,71
"53",833,"m",30,"fit",461100,1,1,1,75
"54",242,"m",29,"fit",72800,1,0,1,72
"55",704,"m",56,"fit",85700,0,0,1,67
"56",452,"m",49,"fit",28600,0,0,1,69
"57",746,"f",56,"ff",1094500,0,0,1,62
"58",278,"m",37,"fit",85400,1,0,1,68
"59",103,"m",27,"thin",21400,0,0,1,76
"60",461,"m",28,"fit",19400,0,0,0,75
"61",671,"m",19,"fit",20600,1,1,1,70
"62",540,"f",32,"fit",21300,1,0,1,66
"63",131,"m",28,"average",44000,0,1,1,74
"64",560,"m",33,"fit",82300,1,1,1,70
"65",201,"m",30,"fit",96300,0,0,1,72
"66",416,"m",48,"ff",134900,0,0,1,72
"67",697,"m",41,"fit",88300,0,0,1,72
"68",653,"m",30,"fit",62300,1,0,1,68
"69",672,"m",27,"fit",965600,1,0,1,71
"70",343,"m",36,"ff",111400,1,0,1,74
"71",245,"m",28,"fit",18100,0,0,1,69
"72",215,"m",35,"average",26700,0,0,1,73
"73",593,"m",43,"thin",99300,1,0,1,71
"74",48,"m",36,"fit",74500,1,0,1,72
"75",72,"m",26,"average",18900,1,0,1,70
"76",509,"m",22,"fit",19600,0,0,1,73
"77",58,"f",27,"average",47500,1,0,1,65
"78",581,"m",28,"average",17600,0,1,1,69
"79",220,"m",52,"fit",92000,0,0,1,66
"80",21,"m",25,"fit",72000,0,0,1,70
"81",420,"m",25,"ff",36000,1,0,1,68
"82",904,"f",23,"ff",20100,1,1,1,66
"83",962,"f",54,"fit",57700,1,0,1,63
"84",814,"m",30,"thin",68000,0,0,1,71
"85",791,"m",33,"fit",44700,1,1,1,68
"86",858,"f",40,"average",61000,1,0,1,63
"87",516,"m",29,"fit",103800,1,0,1,69
"88",341,"m",61,"ff",19000,0,0,1,68
"89",497,"m",30,"average",79900,1,0,1,72
"90",78,"f",39,"average",17800,0,0,1,66
"91",824,"m",31,"ff",60700,1,1,1,74
"92",849,"m",25,"thin",1102700,0,0,1,71
"93",947,"m",24,"fit",21400,0,1,1,70
"94",281,"m",49,"fit",77100,0,0,1,67
"95",159,"m",27,"thin",20000,0,1,1,79
"96",578,"f",23,"average",22000,0,1,1,67
"97",740,"f",31,"fit",55700,0,0,1,65
"98",276,"m",35,"thin",22300,0,1,1,71
"99",920,"f",32,"ff",87200,1,0,1,67
"100",238,"f",30,"fit",64200,1,1,1,70
"101",662,"m",30,"fit",450200,1,0,1,72
"102",248,"m",36,"fit",63600,1,0,1,73
"103",335,"f",33,"fit",147500,1,0,1,65
"104",977,"m",30,"fit",35400,0,0,1,68
"105",500,"m",21,"ff",47000,1,1,1,72
"106",454,"f",44,"average",90700,1,0,1,65
"107",948,"m",29,"fit",53600,1,0,1,65
"108",587,"f",24,"average",19100,1,0,1,64
"109",647,"m",44,"fit",21700,1,0,1,70
"110",723,"m",37,"fit",44500,0,0,1,68
"111",141,"m",29,"fit",42000,0,1,1,68
"112",106,"m",28,"fit",76600,0,1,1,67
"113",443,"m",29,"ff",92400,1,0,1,75
"114",495,"f",40,"ff",43600,0,0,1,66
"115",35,"m",30,"thin",18300,0,1,1,65
"116",485,"m",41,"ff",79600,0,1,1,70
"117",4,"m",40,"fit",52800,1,1,1,70
"118",144,"m",34,"fit",93500,1,0,1,70
"119",558,"m",69,"fit",82000,0,0,1,68
"120",600,"m",22,"average",71900,0,0,1,71
"121",375,"f",29,"average",97900,0,0,1,64
"122",744,"m",28,"thin",56000,1,0,1,68
"123",401,"m",23,"average",21900,0,0,1,70
"124",996,"m",33,"fit",41200,1,0,1,76
"125",775,"m",27,"average",32100,0,1,1,72
"126",249,"m",26,"fit",75000,1,0,1,71
"127",848,"m",64,"fit",105200,0,0,1,72
"128",661,"m",24,"fit",81300,1,0,1,71
"129",316,"m",33,"average",163000,1,0,1,73
"130",711,"f",55,"fit",68400,0,0,1,63
"131",213,"m",24,"fit",75000,0,0,1,60
"132",134,"m",29,"fit",100900,0,0,1,70
"133",261,"m",40,"average",100500,1,0,1,67
"134",701,"m",24,"fit",111600,1,0,1,73
"135",52,"m",43,"fit",966300,1,0,1,72
"136",817,"m",36,"fit",90900,0,0,1,70
"137",892,"m",34,"average",40700,1,1,1,68
"138",752,"m",24,"ff",28900,0,0,1,71
"139",860,"m",27,"fit",17800,0,1,1,66
"140",722,"m",20,"average",21100,0,1,1,73
"141",148,"m",42,"ff",63800,0,0,1,66
"142",283,"m",28,"average",19000,1,0,1,74
"143",698,"m",25,"average",93300,1,0,1,70
"144",138,"m",40,"fit",141600,0,0,1,67
"145",135,"m",28,"fit",99700,1,0,0,66
"146",175,"m",25,"fit",56400,0,1,1,72
"147",878,"f",42,"fit",154900,1,0,1,63
"148",682,"m",24,"thin",58800,1,0,1,72
"149",774,"m",38,"fit",272400,0,0,1,72
"150",964,"m",25,"fit",20200,0,0,1,70
"151",404,"m",27,"average",90900,0,0,1,68
"152",119,"f",43,"fit",81300,1,1,1,67
"153",764,"f",25,"ff",38700,1,0,1,71
"154",326,"f",23,"average",17600,1,0,1,69
"155",385,"f",29,"ff",55800,1,0,1,62
"156",557,"m",22,"ff",22400,1,0,1,66
"157",618,"m",38,"fit",37400,1,0,1,68
"158",845,"m",40,"fit",111600,0,0,1,73
"159",534,"f",58,"thin",37900,0,1,1,64
"160",636,"m",33,"average",21500,0,0,1,71
"161",715,"f",24,"ff",21700,0,0,1,69
"162",42,"m",23,"ff",20300,0,1,1,69
"163",891,"m",26,"average",111600,1,0,1,70
"164",759,"m",23,"fit",29300,1,1,1,71
"165",123,"m",29,"average",20300,1,1,1,66
"166",292,"m",31,"fit",53300,0,1,1,67
"167",128,"m",22,"fit",20400,1,0,1,73
"168",645,"m",39,"average",38300,1,0,1,68
"169",268,"f",37,"ff",105400,0,0,1,70
"170",197,"f",21,"average",22400,0,1,0,68
"171",423,"f",26,"average",107300,1,0,1,65
"172",649,"f",30,"average",30500,0,1,0,63
"173",203,"m",26,"average",77500,1,0,1,64
"174",309,"m",45,"thin",46800,1,0,1,72
"175",731,"m",24,"average",20700,1,0,1,67
"176",344,"m",25,"average",1064900,1,1,1,66
"177",549,"m",31,"fit",31800,1,1,1,67
"178",290,"f",22,"ff",19800,0,1,1,68
"179",610,"m",42,"fit",51800,1,0,1,71
"180",380,"m",35,"ff",26700,1,1,1,75
"181",894,"m",24,"ff",29300,0,1,1,71
"182",53,"m",31,"fit",92400,1,1,1,70
"183",6,"f",35,"ff",43500,0,0,1,64
"184",229,"m",26,"fit",20000,0,0,1,66
"185",800,"m",31,"thin",105400,0,0,1,71
"186",466,"m",31,"fit",88500,1,0,1,69
"187",675,"f",26,"ff",22100,0,0,1,70
"188",783,"f",28,"thin",41400,0,0,1,68
"189",427,"m",65,"fit",27700,0,0,1,70
"190",890,"m",37,"fit",1080800,1,0,1,71
"191",543,"f",44,"fit",86600,0,0,1,67
"192",246,"m",31,"fit",93000,1,1,1,73
"193",934,"m",34,"fit",155200,1,0,1,68
"194",674,"m",43,"fit",143400,0,0,1,72
"195",795,"f",23,"ff",20800,0,0,1,65
"196",569,"m",34,"thin",112100,0,1,1,75
"197",146,"m",26,"thin",81100,1,0,1,74
"198",815,"m",42,"average",103300,0,0,0,72
"199",880,"f",34,"ff",65000,1,0,1,63
"200",806,"m",25,"fit",930900,0,0,1,75
